project,file,line,uselib,libraries
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative.go,516,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative_sponsor.go,98,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative_staging.go,220,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative_stakeholder.go,830,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiativemaster.go,514,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_lifecycle.go,35,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_map_critically.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_master_region.go,37,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_mastermapping.go,35,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_principle_risk.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_product_assigment.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_risksubtype.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard.go,681,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard_businessdriver.go,88,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard_category.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard_period.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_segment.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_sequence.go,58,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_sponsor.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/global.go,84,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/s_initiative.go,80,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/s_initiative_generator.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/s_initiative_stakeholder.go,59,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/s_initiativemaster.go,55,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/s_initiativestaging.go,17,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/struct/s_supporter.go,7,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/main.go,157,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/webext/init.go,168,true,"github.com/eaciit/acl/v2.0, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_actionplane.go,50,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_actionplansownedissues.go,30,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_businessfunction.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_ccupload.go,46,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_conduct.go,54,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_controlsconduct.go,23,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_gia.go,30,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cc/controllers/facade/f_peerreview.go,47,true,"github.com/eaciit/toolkit"
